  h_1  k_1  l_1  iint_u_1  iint_d_1      fr_1  h_2  k_2  l_2  iint_u_2  iint_d_2      fr_2  h_3  k_3  l_3  iint_u_3  iint_d_3      fr_3      fr_mod    fr_exp   sfr_exp
   -3    4   -5     2.703     2.710   0.99759 None None None      None      None      None   -3   -2    7     0.711     0.713   0.99758     0.99759   1.09610   0.11160
    1   -2    5     0.906     0.929   0.97511    3   -2    3     0.818     0.838   0.97515    3    2   -3     0.818     0.838   0.97515     0.97513   0.96160   0.16670
    7    3   -4     7.817    10.894   0.71754   -7   -3    4     7.815    10.897   0.71717   -7    3   -4     7.815    10.897   0.71717     0.71734   0.66930   0.05560
    0    3   -5     0.000     0.000   0.14151   -4    1   -3     3.356     3.412   0.98355   -4   -1    3     3.356     3.412   0.98355     0.98355   0.99900   0.12150
   -1    3   -6     3.658     2.450   1.49313   -4    2   -4     2.549     3.220   0.79156   -4   -2    4     2.549     3.220   0.79156     1.07033   1.46780   0.17540
    5   -3    8     1.775     3.364   0.52760 None None None      None      None      None    3    5   -8     1.772     3.370   0.52579     0.52663   0.61020   0.06990
    5    1   -2     5.085     1.664   3.05531   -4   -2    4     2.546     3.216   0.79150   -4    2   -4     2.546     3.216   0.79150     1.49236   1.04440   0.13480
    0   -3    5     0.000     0.000   0.14151 None None None      None      None      None    4    1   -3     3.356     3.412   0.98355     0.98355   0.95340   0.15240
    3   -2    7     0.711     0.713   0.99755 None None None      None      None      None    3    4   -5     2.703     2.710   0.99756     0.99756   1.20280   0.20250
   -4    2   -4     2.542     3.212   0.79136   -1    3   -6     3.662     2.454   1.49262   -1   -3    6     3.662     2.454   1.49262     1.11989   1.32890   0.20240
    4    2   -4     2.538     3.208   0.79123   -5   -1    2     5.098     1.671   3.05038   -5    1   -2     5.098     1.671   3.05038     1.63941   1.24940   0.15070
   -5    4   -7     1.765     1.763   1.00104   -3    4   -9     2.191     2.188   1.00104   -3   -4    9     2.191     2.188   1.00104     1.00104   1.06260   0.12210
   -1    2   -1     0.974     1.036   0.94037   -1    0   -3     0.000     0.000   1.29082   -1    0    3     0.000     0.000   1.34361     0.94037   1.57750   0.37770
   -4    2    0     4.598     5.470   0.84063    1    1   -6     6.978     4.026   1.73340    1   -1    6     6.978     4.026   1.73340     1.25063   2.38460   0.56080
   -2    5   -9     0.450     0.450   1.00113   -6    3   -7     4.390     4.385   1.00114   -6   -3    7     4.390     4.385   1.00114     1.00114   0.56200   0.12180
    4   -1    3     3.356     3.412   0.98350    0   -3    5     0.000     0.000   0.14019    0    3   -5     0.000     0.000   0.14019     0.98350   0.99640   0.22190
    6    2   -2     6.345    15.485   0.40975   -5   -3    4     1.009     5.546   0.18187   -5    3   -4     1.009     5.546   0.18187     0.34311   0.22200   0.06820
    5   -1    2     5.088     1.666   3.05397   -1   -3    6     3.661     2.452   1.49269   -1    3   -6     3.661     2.452   1.49269     2.07123   0.97840   0.21130
   -6    3   -7     4.390     4.385   1.00114   -2    5   -9     0.450     0.450   1.00114   -2   -5    9     0.450     0.450   1.00114     1.00114   0.95370   0.13500
   -6    2   -2     6.391    15.420   0.41447    1    3   -8     2.257     8.279   0.27262    1   -3    8     2.257     8.279   0.27262     0.36021   0.21590   0.08500
   -1   -3    6     3.656     2.449   1.49328 None None None      None      None      None    5    1   -2     5.101     1.673   3.04990     2.17942   1.12660   0.19570
   -6    1   -1     6.184     6.200   0.99750    2    3   -7     0.711     0.713   0.99749    2   -3    7     0.711     0.713   0.99749     0.99750   1.31810   0.32140
 None None None      None      None      None    4    2   -4     2.546     3.216   0.79150 None None None      None      None      None        None   1.67640   0.31780
   -5    1   -2     5.088     1.666   3.05397    1    3   -6     3.661     2.452   1.49269    1   -3    6     3.661     2.452   1.49269     2.07123   1.50750   0.22010
   -5    2   -5     0.556     0.557   0.99869   -1    4   -7     2.907     2.910   0.99868   -1   -4    7     2.907     2.910   0.99868     0.99868   1.35810   0.26510
    1    2   -3     0.947     1.002   0.94500   -3    0   -1     0.000     0.000   2.78167   -3    0    1     0.000     0.000   0.99217     0.94500   0.80400   0.21450
    3    2   -3     0.818     0.839   0.97510   -4   -1    1     3.444     3.532   0.97511   -4    1   -1     3.444     3.532   0.97511     0.97511   0.99540   0.26810
 None None None      None      None      None    4    1   -5     3.175     3.195   0.99349 None None None      None      None      None        None   0.96750   0.25760
    5    1    2     4.706     1.560   3.01749   -2   -4    4     2.383     3.005   0.79295   -2    4   -4     2.383     3.005   0.79295     1.48312   1.38280   0.38360
   -7    2   -3     0.345     0.344   1.00072    1    4   -9     2.578     2.576   1.00071    1   -4    9     2.578     2.576   1.00071     1.00072   1.22220   0.23620
    2    1   -1     0.963     1.047   0.91945   -2   -1    1     0.963     1.047   0.91943   -2    1   -1     0.963     1.047   0.91943     0.91944   0.64800   0.24110
   -1   -2    3     0.947     1.002   0.94500 None None None      None      None      None    3    0   -1     0.000     0.000   0.99217     0.94500   0.78940   0.22560
    4    3   -5     2.703     2.710   0.99748   -6   -1    1     6.184     6.200   0.99749   -6    1   -1     6.184     6.200   0.99749     0.99749   0.76810   0.16550
    1    4   -5     3.174     3.196   0.99339 None None None      None      None      None   -5    0    3     0.000     0.000   0.18208     0.99339   1.00000   0.28560
 None None None      None      None      None    4   -1    1     3.444     3.532   0.97523 None None None      None      None      None        None   1.02520   0.30370
    1    4   -9     2.578     2.576   1.00072   -7    2   -3     0.345     0.344   1.00072   -7   -2    3     0.345     0.344   1.00072     1.00072   1.17580   0.30890
    2    3   -7     0.711     0.713   0.99748   -6    1   -1     6.184     6.200   0.99750   -6   -1    1     6.184     6.200   0.99750     0.99749   0.88540   0.27430
    3    0    1     0.000     0.000   2.79589   -1   -2    3     0.947     1.003   0.94477   -1    2   -3     0.947     1.003   0.94477     0.94477   0.90000   0.30230
   -7    3   -4     7.830    10.880   0.71964    0    4  -10     5.257     7.843   0.67035    0   -4   10     5.257     7.843   0.67035     0.69726   0.49100   0.05110
   -1    4   -9     2.578     2.576   1.00072   -6    3   -5     4.806     4.803   1.00072   -6   -3    5     4.806     4.803   1.00072     1.00072   0.73620   0.23680
    6    0    0     0.716     2.639   0.27118   -3   -3    6     3.655     0.555   6.58102   -3    3   -6     3.655     0.555   6.58102     1.50401   3.42850   1.90890
   -7   -2    3     0.345     0.344   1.00072 None None None      None      None      None    6   -3    5     4.806     4.803   1.00072     1.00072   0.63290   0.25150
