#wavelength 1.4
#field 0. 0.  1.0
#   ttheta     IntUP    sIntUP   IntDOWN  sIntDOWN
 34.89   706322.00    840.43    708319.00    841.62
 34.94   711134.00    843.29    713515.00    844.70
 34.99   704550.00    839.37    705874.00    840.16
 35.03   700358.00    836.87    704343.00    839.25
 35.08   716381.00    846.39    717675.00    847.16
 35.14   714609.00    845.35    715740.00    846.01
 35.19   719659.00    848.33    721982.00    849.70
 35.24   716173.00    846.27    717824.00    847.24
 35.29   715691.00    845.99    717980.00    847.34
 35.34   719765.00    848.39    722183.00    849.81
 35.39   723804.00    850.77    726488.00    852.34
 35.44   730745.00    854.84    734715.00    857.16
 35.49   731163.00    855.08    734010.00    856.74
 35.54   738601.00    859.42    740975.00    860.80
 35.59   734275.00    856.90    735606.00    857.67
 35.64   752551.00    867.50    756013.00    869.49
 35.70   752559.00    867.50    754885.00    868.84
 35.75   749274.00    865.61    751480.00    866.88
 35.80   755443.00    869.16    758680.00    871.02
 35.85   769719.00    877.34    771843.00    878.55
 35.91   766203.00    875.33    768194.00    876.47
 35.96   762842.00    873.41    765061.00    874.68
 36.01   771000.00    878.07    773604.00    879.55
 36.07   782800.00    884.76    783145.00    884.95
 36.12   764364.00    874.28    766449.00    875.47
 36.17   788017.00    887.70    789806.00    888.71
 36.23   773904.00    879.72    775186.00    880.45
 36.28   773186.00    879.31    773386.00    879.42
 36.33   789662.00    888.63    790505.00    889.10
 36.39   767130.00    875.86    767750.00    876.21
 36.44   782016.00    884.32    785703.00    886.40
 36.50   766394.00    875.44    769896.00    877.44
 36.56   775646.00    880.71    780155.00    883.26
 36.61   757822.00    870.53    758061.00    870.67
 36.67   769486.00    877.20    770899.00    878.01
 36.72   753397.00    867.98    752743.00    867.61
 36.78   770531.00    877.80    772324.00    878.82
 36.83   749978.00    866.01    751646.00    866.98
 36.89   756149.00    869.57    756134.00    869.56
 36.95   753173.00    867.86    754069.00    868.37
 37.01   750913.00    866.55    752929.00    867.71
 37.06   729150.00    853.90    730955.00    854.96
 37.12   749367.00    865.66    750763.00    866.47
 37.18   746251.00    863.86    748736.00    865.30
 37.23   726950.00    852.61    729612.00    854.17
 37.30   744708.00    862.96    746632.00    864.08
 37.35   721521.00    849.42    721466.00    849.39
 37.41   728747.00    853.67    729694.00    854.22
 37.47   731458.00    855.25    733939.00    856.70
 37.52   732688.00    855.97    735508.00    857.62
 37.58   724652.00    851.26    725411.00    851.71
 37.65   721145.00    849.20    720715.00    848.95
 37.71   722972.00    850.28    723966.00    850.86
 37.77   726597.00    852.41    728876.00    853.74
 37.83   726562.00    852.39    727856.00    853.14
 37.89   720793.00    849.00    722445.00    849.97
 37.95   718096.00    847.41    717566.00    847.09
 38.01   725338.00    851.67    727959.00    853.21
 38.07   723646.00    850.67    726125.00    852.13
