#   ttheta       IntUP     sIntUP    IntDOWN   sIntDOWN    IntDIFF   sIntDIFF
   78.40000     346.98     346.98     304.10     304.10     42.880    346.980
   78.60000     352.06     352.06     310.18     310.18     41.890    352.060
   78.80000     358.53     358.53     317.74     317.74     40.790    358.530
   79.00000     365.69     365.69     326.05     326.05     39.640    365.690
   79.20000     372.85     372.85     334.34     334.34     38.510    372.850
   79.40000     379.32     379.32     341.89     341.89     37.430    379.320
   79.60000     384.48     384.48     348.04     348.04     36.440    384.480
   79.80000     387.81     387.81     352.24     352.24     35.560    387.810
   80.00000     388.87     388.87     354.09     354.09     34.790    388.870
   80.20000     387.38     387.38     353.28     353.28     34.090    387.380
   80.40000     383.12     383.12     349.67     349.67     33.450    383.120
   80.60000     376.03     376.03     343.21     343.21     32.820    376.030
   80.80000     366.12     366.12     333.96     333.96     32.150    366.120
   81.00000     353.49     353.49     322.10     322.10     31.390    353.490
   81.20000     338.36     338.36     307.85     307.85     30.510    338.360
   81.40000     320.97     320.97     291.52     291.52     29.450    320.970
   81.60000     301.67     301.67     273.45     273.45     28.220    301.670
   81.80000     280.83     280.83     254.03     254.03     26.800    280.830
   82.00000     258.87     258.87     233.67     233.67     25.200    258.870
