#wavelength 0.84
#field 0 0 1
#    ttheta      IntUP     sIntUP    IntDOWN   sIntDOWN         un         un
   71.40000  656.90        20.31     562.97            19.88     93.850     28.422
   71.60000  610.22        20.36     494.24            19.83    115.860     28.422
   71.80000  570.86        20.20     472.73            19.73     98.157     28.241
   72.00000  576.21        20.21     466.77            19.70    109.739     28.229
   72.20000  611.69        20.39     520.16            19.97     91.612     28.545
   72.40000  659.55        20.73     527.62            20.12    131.827     28.887
   72.60000  614.16        20.83     557.11            20.54     57.018     29.256
   72.80000  639.04        21.14     550.08            20.71     88.933     29.599
   73.00000  596.43        20.82     572.05            20.70     24.407     29.355
   73.20000  557.56        20.74     532.20            20.61     25.415     29.243
   73.40000  562.18        20.65     539.59            20.54     22.846     29.130
   73.60000  614.91        20.34     573.38            20.15     41.478     28.636
   73.80000  648.89        20.81     601.64            20.60     47.184     29.280
   74.00000  644.83        20.90     598.98            20.67     46.010     29.400
   74.20000  647.35        20.85     604.49            20.66     43.225     29.350
   74.40000  625.47        20.75     583.45            20.56     41.907     29.207
   74.60000  659.67        20.98     571.60            20.56     88.133     29.379
   74.80000  598.98        20.63     555.60            20.43     43.483     29.037
   75.00000  649.05        21.10     590.07            20.82     58.963     29.643
   75.20000  720.45        21.57     600.83            21.01    119.761     30.113
   75.40000  704.04        21.52     644.58            21.24     59.456     30.235
   75.60000  639.50        21.38     591.09            21.14     48.463     30.073
   75.80000  681.64        21.39     628.85            21.15     52.617     30.085
   76.00000  717.42        21.59     602.84            21.04    114.921     30.150
   76.20000  691.49        21.53     616.86            21.16     74.546     30.191
   76.40000  666.95        21.93     634.47            21.77     32.648     30.902
   76.60000  670.42        22.02     540.49            21.38    130.257     30.691
   76.80000  627.38        21.94     483.20            21.22    144.350     30.522
   77.00000  554.07        21.69     521.92            21.53     31.308     30.565
   77.20000  578.27        21.76     535.31            21.53     43.003     30.609
   77.40000  603.68        21.85     443.49            21.07    159.704     30.358
   77.60000  612.98        22.41     433.23            21.49    179.667     31.051
   77.80000  636.95        22.60     496.25            21.89    140.953     31.462
   78.00000  602.01        22.52     449.83            21.72    152.426     31.293
   78.20000  605.13        22.55     514.09            22.08     91.400     31.557
   78.40000  618.76        22.50     485.65            21.80    132.971     31.328
   78.60000  583.18        22.41     487.78            21.93     95.510     31.360
   78.80000  586.35        22.52     510.53            22.15     75.828     31.583
   79.00000  633.06        23.39     538.35            22.92     93.869     32.753
   79.20000  668.07        23.68     592.58            23.30     75.430     33.221
   79.40000  673.48        23.59     539.33            22.89    134.370     32.871
   79.60000  620.36        23.39     568.03            23.12     51.982     32.889
   79.80000  697.11        23.49     609.58            23.03     87.808     32.895
   80.00000  696.35        23.69     559.43            23.00    137.536     33.024
   80.20000  673.40        23.99     578.50            23.48     94.971     33.574
   80.40000  715.34        24.45     631.24            24.00     84.215     34.262
   80.60000  625.41        23.98     627.00            23.99     -1.573     33.923
   80.80000  659.25        24.30     600.44            24.00     58.828     34.151
   81.00000  617.92        24.10     526.94            23.63     91.021     33.753
   81.20000  643.90        24.21     551.74            23.72     92.403     33.891
   81.40000  610.43        24.05     570.73            23.84     39.750     33.863
   81.60000  687.21        25.11     535.41            24.27    151.743     34.927
   81.80000  604.92        24.92     559.32            24.65     45.418     35.053
   82.00000  589.97        24.97     499.26            24.46     91.234     34.953 
