#   ttheta       IntUP     sIntUP    IntDOWN   sIntDOWN    IntDIFF   sIntDIFF
   86.80000     315.53      37.53     347.20      37.12     24.624     38.843
   87.00000     317.37      37.13     243.93      37.27     23.103     38.499
   87.20000     345.08      37.07     243.01      37.09     49.213     38.446
   87.40000     333.81      37.14     288.24      37.08     26.239     38.552
   87.60000     307.15      37.45     208.83      37.14     80.668     38.461
   87.80000     285.83      37.23     258.65      37.38     -3.223     38.552
   88.00000     261.04      39.14     220.65      38.36     94.273     39.918
   88.20000     166.81      38.43     252.43      38.38    -39.823     39.408
   88.40000     202.81      38.72     141.88      38.58     44.855     39.477
   88.60000     267.90      38.76     156.20      38.05    122.366     39.429
   88.80000     174.64      38.43     154.28      38.71    -17.769     39.344
   89.00000     204.35      38.33     163.45      38.11     40.633     39.091
   89.20000     128.98      39.43      54.80      39.31     50.083     39.786
   89.40000      79.16      39.97     148.06      40.18    -53.516     40.619
   89.60000      98.15      39.88      60.77      39.78     31.724     40.179
   89.80000      60.23      39.71     100.03      39.85    -32.609     40.149
