   h    k    l      d (Å)      F(real)      F(imag)          |F|         2θ          I    M
  14   -6    2   1.925816   276.473504     0.000000      276.474   75.19794    1.28999    6
   6   -3   -3   1.923117   300.114307     0.000000      300.114   75.32184    1.51552    6
   6   -3    3   1.923117   109.082161     0.000000      109.082   75.32184    0.20022    6
  17  -11    1   1.918067    30.282356     0.000000      30.2824   75.55488    0.01534    6
  17   -6   -1   1.918067   239.335777     0.000000      239.336   75.55488    0.95851    6
  14   -9    2   1.914149  -114.704407     0.000000      114.704   75.73678    0.21922    6
  14   -5   -2   1.914149    39.347305     0.000000      39.3473   75.73678    0.02580    6
  18  -12    0   1.900241   192.895170     0.000000      192.895   76.39039    0.61062    6
  18   -6    0   1.900241   230.536716     0.000000      230.537   76.39039    0.87219    6
  17  -12   -1   1.895217    43.843160     0.000000      43.8432   76.62959    0.03137    6
  17   -5    1   1.895217    10.363129     0.000000      10.3631   76.62959    0.00175    6
  13  -12   -2   1.891438   130.982738     0.000000      130.983   76.81065    0.27888    6
  13   -1    2   1.891438    20.701175     0.000000      20.7012   76.81065    0.00697    6
   6    0   -3   1.888880  -151.763304     0.000000      151.763   76.93369    0.37336    6
   6    0    3   1.888880   -45.075442     0.000000      45.0754   76.93369    0.03294    6
   7   -5   -3   1.877868   115.074825     0.000000      115.075   77.46857    0.21214    6
   7   -5    3   1.877868    58.849892     0.000000      58.8499   77.46857    0.05548    6
   7   -2   -3   1.877868   258.338308     0.000000      258.338   77.46857    1.06916    6
   7   -2    3   1.877868  -132.106814     0.000000      132.107   77.46857    0.27959    6
  14   -3    2   1.869516  -414.657395     0.000000      414.657   77.87982    2.73012    6
  14  -11   -2   1.869516  -176.706932     0.000000      176.707   77.87982    0.49580    6
  16   -1   -1   1.851866  -375.183960     0.000000      375.184   78.76512    2.19397    6
  16  -15    1   1.851866   220.564433     0.000000      220.564   78.76512    0.75825    6
  13    0   -2   1.848339    92.059073     0.000000      92.0591   78.94472    0.13161    6
  15   -8    2   1.848339   190.089823     0.000000       190.09   78.94472    0.56113    6
  15   -7   -2   1.848339   394.439199     0.000000      394.439   78.94472    2.41606    6
   8   -4   -3   1.845952   -25.391378     0.000000      25.3914   79.06679    0.00999    6
   8   -4    3   1.845952  -166.335704     0.000000      166.336   79.06679    0.42859    6
  18   -8   -1   1.841485   -85.399495     0.000000      85.3995   79.29642    0.11245    6
  18  -10    1   1.841485   133.111801     0.000000      133.112   79.29642    0.27321    6
  14  -12    2   1.838017   -62.883257     0.000000      62.8833   79.47571    0.06076    6
  14   -2   -2   1.838017   113.193862     0.000000      113.194   79.47571    0.19686    6
  18   -7    1   1.831276   227.095576     0.000000      227.096   79.82680    0.78694    6
  17   -3   -1   1.831276   164.535431     0.000000      164.535   79.82680    0.41309    6
  17  -14    1   1.831276  -300.276762     0.000000      300.277   79.82680    1.37584    6
  18  -11   -1   1.831276   402.119848     0.000000       402.12   79.82680    2.46738    6
  15   -5    2   1.827866   196.398083     0.000000      196.398   80.00577    0.58654    6
  15  -10   -2   1.827866   138.240656     0.000000      138.241   80.00577    0.29060    6
  17   -1    0   1.825693    88.006804     0.000000      88.0068   80.12027    0.11752    6
  19  -11    0   1.825693   204.478780     0.000000      204.479   80.12027    0.63440    6
  19   -8    0   1.825693  -137.154045     0.000000      137.154   80.12027    0.28542    6
  17  -16    0   1.825693   420.037017     0.000000      420.037   80.12027    2.67695    6
   8   -7   -3   1.815610  -213.617893     0.000000      213.618   80.65644    0.68540    6
   8   -7    3   1.815610  -294.613752     0.000000      294.614   80.65644    1.30370    6
   8   -1   -3   1.815610   131.658646     0.000000      131.659   80.65644    0.26036    6
   8   -1    3   1.815610   283.995115     0.000000      283.995   80.65644    1.21141    6
  15  -11    2   1.808058  -541.177962     0.000000      541.178   81.06337    4.36617    6
  15   -4   -2   1.808058  -417.936626     0.000000      417.937   81.06337    2.60400    6
  18   -3    0   1.805955   121.940217     0.000000       121.94   81.17752    0.22122    6
  18  -15    0   1.805955   168.486440     0.000000      168.486   81.17752    0.42233    6
  16    0    1   1.801641   104.886577     0.000000      104.887   81.41283    0.16298    6
   9   -6   -3   1.796194   -22.041254     0.000000      22.0413   81.71211    0.00716    6
   9   -6    3   1.796194  -440.455642     0.000000      440.456   81.71211    2.85889    6
   9   -3   -3   1.796194  -605.664669     0.000000      605.665   81.71211    5.40576    6
   9   -3    3   1.796194    -7.522598     0.000000       7.5226   81.71211    0.00083    6
  17  -15   -1   1.792077   175.780700     0.000000      175.781   81.93998    0.45354    6
  17   -2    1   1.792077   163.462502     0.000000      163.463   81.93998    0.39220    6
  18  -13    1   1.792077  -231.469799     0.000000       231.47   81.93998    0.78643    6
  18   -5   -1   1.792077   -55.718463     0.000000      55.7185   81.93998    0.04557    6
  16   -9   -2   1.770301  -167.396739     0.000000      167.397   83.16977    0.40298    6
  16   -7    2   1.770301   -50.613948     0.000000      50.6139   83.16977    0.03684    6
  19  -14    0   1.768327    70.094102     0.000000      70.0941   83.28334    0.07053    6
  19   -5    0   1.768327   118.987162     0.000000      118.987   83.28334    0.20324    6
  18   -4    1   1.764276  -106.484463     0.000000      106.484   83.51749    0.16217    6
  18  -14   -1   1.764276   167.464299     0.000000      167.464   83.51749    0.40109    6
  14    0    2   1.761226   103.800010     0.000000        103.8   83.69481    0.15367    6
  16  -10    2   1.761226   -96.577185     0.000000      96.5772   83.69481    0.13303    6
  16   -6   -2   1.761226   -43.597787     0.000000      43.5978   83.69481    0.02711    6
  10   -5   -3   1.759160    82.285269     0.000000      82.2853   83.81535    0.09639    6
  10   -5    3   1.759160    66.674445     0.000000      66.6744   83.81535    0.06329    6
  19  -10   -1   1.755293  -346.459156     0.000000      346.459   84.04218    1.70297    6
  19   -9    1   1.755293    11.824868     0.000000      11.8249   84.04218    0.00198    6
  15   -2    2   1.752288    27.899951     0.000000         27.9   84.21932    0.01101    6
  15  -13   -2   1.752288   -73.236505     0.000000      73.2365   84.21932    0.07589    6
  20  -10    0   1.741600    -2.683480     0.000000      2.68348   84.85659    0.00010    6
   9    0   -3   1.741482   -45.177667     0.000000      45.1777   84.86366    0.02861    6
   9    0    3   1.741482   -60.356580     0.000000      60.3566   84.86366    0.05107    6
  19  -12    1   1.737730   663.033452     0.000000      663.033   85.09009    6.14282    6
  19   -7   -1   1.737730   462.820072     0.000000       462.82   85.09009    2.99310    6
  10   -8   -3   1.732841  -185.668993     0.000000      185.669   85.38715    0.47973    6
  10   -8    3   1.732841   248.001337     0.000000      248.001   85.38715    0.85590    6
  10   -2    3   1.732841   310.816749     0.000000      310.817   85.38715    1.34439    6
  10   -2   -3   1.732841   465.942180     0.000000      465.942   85.38715    3.02120    6
  16   -4    2   1.726272   -94.642780     0.000000      94.6428   85.79011    0.12398    6
  16  -12   -2   1.726272   192.691985     0.000000      192.692   85.79011    0.51392    6
  19  -13   -1   1.720684    27.698847     0.000000      27.6988   86.13635    0.01057    6
  19   -6    1   1.720684  -288.184658     0.000000      288.185   86.13635    1.14432    6
  15  -14    2   1.717854   204.039962     0.000000       204.04   86.31295    0.57234    6
  15   -1   -2   1.717854   255.487104     0.000000      255.487   86.31295    0.89736    6
  20  -13    0   1.716050  -350.090072     0.000000       350.09   86.42595    1.68255    6
  20   -7    0   1.716050  -100.365448     0.000000      100.365   86.42595    0.13829    6
  11   -7   -3   1.707668   -15.300376     0.000000      15.3004   86.95548    0.00319    6
  11   -7    3   1.707668  -246.937218     0.000000      246.937   86.95548    0.83169    6
  11   -4   -3   1.707668    53.990981     0.000000       53.991   86.95548    0.03976    6
  11   -4    3   1.707668   353.445195     0.000000      353.445   86.95548    1.70386    6
  17    0   -1   1.704130  -330.109350     0.000000      330.109   87.18133    1.48232    6
  16   -3   -2   1.701380   260.964263     0.000000      260.964   87.35774    0.92448    6
  17   -9    2   1.701380   416.310773     0.000000      416.311   87.35774    2.35271    6
  16  -13    2   1.701380    74.230576     0.000000      74.2306   87.35774    0.07480    6
  17   -8   -2   1.701380   165.111027     0.000000      165.111   87.35774    0.37007    6
  18   -2   -1   1.696030   395.628743     0.000000      395.629   87.70344    2.11643    6
  18  -16    1   1.696030   -40.512056     0.000000      40.5121   87.70344    0.02219    6
  17   -6    2   1.685372   -89.346699     0.000000      89.3467   88.40166    0.10713    6
  17  -11   -2   1.685372  -129.278849     0.000000      129.279   88.40166    0.22429    6
  18    0    0   1.675855    77.774993     0.000000       77.775   89.03619    0.08066    6
  19   -4   -1   1.672406   100.471436     0.000000      100.471   89.26882    0.13430    6
  19  -15    1   1.672406   113.873387     0.000000      113.873   89.26882    0.17252    6
  20  -11    1   1.672406   -12.429462     0.000000      12.4295   89.26882    0.00206    6
  20   -9   -1   1.672406    33.250446     0.000000      33.2504   89.26882    0.01471    6
  17  -12    2   1.669807   155.511542     0.000000      155.512   89.44504    0.32122    6
  17   -5   -2   1.669807   316.157867     0.000000      316.158   89.44504    1.32765    6
  19   -2    0   1.668150   193.725233     0.000000      193.725   89.55782    0.49796    6
  19  -17    0   1.668150  -344.877257     0.000000      344.877   89.55782    1.57816    6
  12   -6   -3   1.668047   231.762064     0.000000      231.762   89.56487    0.71265    6
  12   -6    3   1.668047   -75.003323     0.000000      75.0033   89.56487    0.07464    6
  20   -8    1   1.664748  -188.779593     0.000000       188.78   89.79043    0.47186    6
  20  -12   -1   1.664748   -21.378496     0.000000      21.3785   89.79043    0.00605    6
  11  -10   -3   1.660449   -32.491657     0.000000      32.4917   90.08647    0.01394    6
  11  -10    3   1.660449     5.446075     0.000000      5.44607   90.08647    0.00039    6
  11   -1    3   1.660449  -184.532518     0.000000      184.533   90.08647    0.44970    6
  11   -1   -3   1.660449   -60.416800     0.000000      60.4168   90.08647    0.04820    6
  18   -1    1   1.657195  -361.959935     0.000000       361.96   90.31202    1.72688    6
  18  -17   -1   1.657195  -145.126503     0.000000      145.127   90.31202    0.27761    6
  21  -12    0   1.653054   -68.155759     0.000000      68.1558   90.60102    0.06108    6
  21   -9    0   1.653054  -266.807625     0.000000      266.808   90.60102    0.93606    6
  20   -4    0   1.645657    11.239873     0.000000      11.2399   91.12268    0.00165    6
  20  -16    0   1.645657    78.539413     0.000000      78.5394   91.12268    0.08078    6
  12   -9   -3   1.645558    44.971116     0.000000      44.9711   91.12972    0.02648    6
  12   -9    3   1.645558   307.783877     0.000000      307.784   91.12972    1.24053    6
  12   -3    3   1.645558  -154.987102     0.000000      154.987   91.12972    0.31456    6
  12   -3   -3   1.645558   113.117603     0.000000      113.118   91.12972    0.16756    6
  19  -16   -1   1.642391  -183.897578     0.000000      183.898   91.35533    0.44212    6
  19   -3    1   1.642391   -22.803520     0.000000      22.8035   91.35533    0.00680    6
